Revenue_INR,Cost_INR,Quantity,Business_Model
22168,16626.0,8,Retail
4620,3465.0,4,Retail
19390,14542.5,10,Retail
752,564.0,4,Retail
752,564.0,8,Retail
20598,15448.5,6,Retail
18837,14127.75,9,Retail
13506,10129.5,3,Retail
21438,16078.5,9,Retail
14955,11216.25,5,Retail
4785,3588.75,5,Retail
22635,16976.25,5,Retail
40480,30360.0,10,Retail
28688,21516.0,8,Retail
234,175.5,3,Retail
636,477.0,1,Retail
38277,28707.75,9,Retail
2221,1665.75,1,Retail
7776,5832.0,4,Retail
27629,20721.75,7,Retail
3000,2250.0,6,Retail
194,145.5,1,Retail
5712,4284.0,4,Retail
4488,3366.0,2,Retail
5556,4167.0,3,Retail
11016,8262.0,6,Retail
33950,25462.5,10,Retail
10760,8070.0,4,Retail
19390,14542.5,7,Retail
48300,36225.0,10,Retail
15000,11250.0,5,Retail
4625,3468.75,5,Retail
8748,6561.0,3,Retail
9756,7317.0,6,Retail
13376,10032.0,4,Retail
29802,22351.5,6,Retail
982,736.5,1,Retail
42070,31552.5,10,Retail
24290,18217.5,5,Retail
4957,3717.75,1,Retail
15120,11340.0,5,Retail
3124,2343.0,1,Retail
9780,7335.0,10,Retail
15836,11877.0,4,Retail
1747,1310.25,1,Retail
17361,13020.75,9,Retail
24750,18562.5,10,Retail
167,125.25,1,Retail
37184,27888.0,8,Retail
13974,10480.5,6,Retail
2814,2110.5,2,Retail
16524,12393.0,9,Retail
17850,13387.5,5,Retail
992,744.0,4,Retail
21200,15900.0,10,Retail
3427,2570.25,1,Retail
8864,6648.0,2,Retail
28016,21012.0,8,Retail
8218,6163.5,7,Retail
8528,6396.0,4,Retail
3764,2823.0,2,Retail
10575,7931.25,3,Retail
23940,17955.0,9,Retail
89,66.75,1,Retail
750,562.5,6,Retail
25164,18873.0,9,Retail
3941,2955.75,7,Retail
8430,6322.5,6,Retail
8967,6725.25,3,Retail
20664,15498.0,7,Retail
10448,7836.0,4,Retail
14550,10912.5,10,Retail
14024,10518.0,8,Retail
13650,10237.5,5,Retail
24804,18603.0,9,Retail
1034,775.5,1,Retail
24635,18476.25,5,Retail
18024,13518.0,8,Retail
34312,25734.0,8,Retail
7550,5662.5,5,Retail
21084,15813.0,7,Retail
36872,27654.0,8,Retail
17032,12774.0,4,Retail
9690,7267.5,3,Retail
16920,12690.0,9,Retail
20763,15572.25,9,Retail
13736,10302.0,8,Retail
11664,8748.0,8,Retail
2481,1860.75,1,Retail
965,723.75,1,Retail
39144,29358.0,8,Retail
4940,3705.0,10,Retail
19890,14917.5,10,Retail
522,391.5,3,Retail
5652,4239.0,4,Retail
19062,14296.5,6,Retail
37940,28455.0,10,Retail
17577,13182.75,7,Retail
9504,7128.0,4,Retail
21710,16282.5,10,Retail
1609,1206.75,1,Retail
7011,5258.25,9,Retail
33103,24827.25,7,Retail
15455,11591.25,5,Retail
7528,5646.0,8,Retail
10164,7623.0,7,Retail
1722,1291.5,3,Retail
4451,3338.25,1,Retail
5570,4177.5,2,Retail
1253,939.75,7,Retail
6360,4770.0,8,Retail
17680,13260.0,10,Retail
19625,14718.75,5,Retail
35172,26379.0,9,Retail
13210,9907.5,5,Retail
19257,14442.75,7,Retail
19040,14280.0,4,Retail
3198,2398.5,1,Retail
1522,1141.5,1,Retail
4974,3730.5,2,Retail
11193,8394.75,7,Retail
26159,19619.25,7,Retail
1759,1319.25,1,Retail
14964,11223.0,6,Retail
9687,7265.25,3,Retail
45470,34102.5,10,Retail
19535,14651.25,5,Retail
3144,2358.0,2,Retail
10388,7791.0,4,Retail
8013,6009.75,3,Retail
41895,31421.25,9,Retail
26826,20119.5,6,Retail
18112,13584.0,8,Retail
49390,37042.5,10,Retail
12534,9400.5,6,Retail
627,470.25,1,Retail
8336,6252.0,4,Retail
32844,24633.0,7,Retail
22160,16620.0,5,Retail
11600,8700.0,4,Retail
8000,6000.0,5,Retail
32730,24547.5,10,Retail
1088,816.0,4,Retail
883,662.25,1,Retail
7570,5677.5,5,Retail
27629,20721.75,7,Retail
11175,8381.25,3,Retail
22419,16814.25,9,Retail
8540,6405.0,7,Retail
13020,9765.0,7,Retail
36304,27228.0,8,Retail
5860,4395.0,4,Retail
3282,2461.5,3,Retail
20562,15421.5,6,Retail
3920,2940.0,7,Retail
3334,2500.5,2,Retail
35664,26748.0,8,Retail
3231,2423.25,3,Retail
22075,16556.25,5,Retail
5100,3825.0,3,Retail
25790,19342.5,10,Retail
22884,17163.0,6,Retail
40230,30172.5,10,Retail
5122,3841.5,2,Retail
2870,2152.5,1,Retail
42165,31623.75,9,Retail
9182,6886.5,2,Retail
4940,3705.0,10,Retail
15834,11875.5,6,Retail
7635,5726.25,3,Retail
19220,14415.0,4,Retail
7730,5797.5,10,Retail
6460,4845.0,10,Retail
4902,3676.5,1,Retail
33775,25331.25,7,Retail
31577,23682.75,7,Retail
29730,22297.5,6,Retail
288,216.0,3,Retail
17934,13450.5,7,Retail
446,334.5,2,Retail
16344,12258.0,9,Retail
1224,918.0,4,Retail
2982,2236.5,2,Retail
2678,2008.5,2,Retail
10029,7521.75,3,Retail
14440,10830.0,4,Retail
9339,7004.25,3,Retail
21216,15912.0,8,Retail
1217,912.75,1,Retail
37752,28314.0,8,Retail
8510,6382.5,2,Retail
29598,22198.5,6,Retail
12750,9562.5,5,Retail
24828,18621.0,6,Retail
35816,26862.0,8,Retail
25676,19257.0,7,Retail
4476,3357.0,4,Retail
10380,7785.0,3,Retail
19532,14649.0,4,Retail
4740,3555.0,5,Retail
5416,4062.0,8,Retail
10564,7923.0,4,Retail
25480,19110.0,7,Retail
45050,33787.5,10,Retail
2429,1821.75,1,Retail
4684,3513.0,4,Retail
11660,8745.0,5,Retail
19010,14257.5,5,Retail
11097,8322.75,3,Retail
5058,3793.5,9,Retail
10104,7578.0,6,Retail
18342,13756.5,9,Retail
15906,11929.5,6,Retail
8694,6520.5,3,Retail
5640,4230.0,2,Retail
14680,11010.0,5,Retail
37944,28458.0,9,Retail
26840,20130.0,8,Retail
3392,2544.0,8,Retail
30933,23199.75,7,Retail
14050,10537.5,10,Retail
17648,13236.0,8,Retail
14094,10570.5,9,Retail
3106,2329.5,2,Retail
1504,1128.0,1,Retail
15310,11482.5,5,Retail
36648,27486.0,8,Retail
4634,3475.5,2,Retail
20800,15600.0,10,Retail
3324,2493.0,3,Retail
4870,3652.5,1,Retail
4489,3366.75,1,Retail
17664,13248.0,4,Retail
32216,24162.0,8,Retail
3227,2420.25,7,Retail
3822,2866.5,1,Retail
3768,2826.0,6,Retail
7190,5392.5,5,Retail
21224,15918.0,8,Retail
19350,14512.5,5,Retail
27643,20732.25,7,Retail
22533,16899.75,7,Retail
8174,6130.5,2,Retail
46620,34965.0,10,Retail
9858,7393.5,2,Retail
14540,10905.0,10,Retail
6916,5187.0,7,Retail
4640,3480.0,4,Retail
13995,10496.25,3,Retail
4836,3627.0,3,Retail
9930,7447.5,2,Retail
1152,864.0,9,Retail
14742,11056.5,6,Retail
1854,1390.5,2,Retail
7852,5889.0,4,Retail
16150,12112.5,10,Retail
28866,21649.5,6,Retail
18704,14028.0,4,Retail
25728,19296.0,8,Retail
31115,23336.25,7,Retail
3092,2319.0,2,Retail
17676,13257.0,9,Retail
999,749.25,9,Retail
3697,2772.75,1,Retail
13338,10003.5,6,Retail
11412,8559.0,6,Retail
21264,15948.0,6,Retail
26816,20112.0,8,Retail
20290,15217.5,5,Retail
19104,14328.0,6,Retail
14497,10872.75,7,Retail
17235,12926.25,9,Retail
16040,12030.0,10,Retail
25320,18990.0,8,Retail
3200,2400.0,4,Retail
28112,21084.0,8,Retail
20418,15313.5,6,Retail
4256,3192.0,1,Retail
1152,864.0,6,Retail
7281,5460.75,9,Retail
8766,6574.5,3,Retail
2668,2001.0,1,Retail
3784,2838.0,8,Retail
4560,3420.0,10,Retail
1020,765.0,4,Retail
2110,1582.5,2,Retail
5110,3832.5,5,Retail
4356,3267.0,2,Retail
240,180.0,4,Retail
5562,4171.5,9,Retail
1358,1018.5,2,Retail
2236,1677.0,2,Retail
3482,2611.5,1,Retail
43440,32580.0,10,Retail
46720,35040.0,10,Retail
17616,13212.0,8,Retail
2482,1861.5,1,Retail
3492,2619.0,9,Retail
26829,20121.75,9,Retail
28248,21186.0,8,Retail
2009,1506.75,1,Retail
3177,2382.75,1,Retail
47510,35632.5,10,Retail
30328,22746.0,8,Retail
26304,19728.0,6,Retail
9280,6960.0,8,Retail
2990,2242.5,2,Retail
4058,3043.5,2,Retail
41680,31260.0,10,Retail
34648,25986.0,8,Retail
7305,5478.75,5,Retail
9944,7458.0,2,Retail
12864,9648.0,4,Retail
1614,1210.5,2,Retail
35685,26763.75,9,Retail
1795,1346.25,1,Retail
4501,3375.75,1,Retail
18620,13965.0,5,Retail
21950,16462.5,5,Retail
22168,16626.0,8,Retail
14952,11214.0,7,Retail
2354,1765.5,1,Retail
32942,24706.5,7,Retail
11640,8730.0,5,Retail
7162,5371.5,2,Retail
1294,970.5,2,Retail
7281,5460.75,3,Retail
14610,10957.5,6,Retail
2572,1929.0,4,Retail
9890,7417.5,2,Retail
2180,1635.0,10,Retail
8448,6336.0,2,Retail
29220,21915.0,10,Retail
13566,10174.5,7,Retail
2693,2019.75,1,Retail
12087,9065.25,9,Retail
2008,1506.0,2,Retail
4362,3271.5,6,Retail
14380,10785.0,5,Retail
17780,13335.0,5,Retail
9405,7053.75,9,Retail
2426,1819.5,1,Retail
7914,5935.5,6,Retail
2110,1582.5,1,Retail
736,552.0,2,Retail
16709,12531.75,7,Retail
4089,3066.75,3,Retail
18072,13554.0,4,Retail
860,645.0,2,Retail
1926,1444.5,6,Retail
16731,12548.25,9,Retail
16662,12496.5,6,Retail
27552,20664.0,6,Retail
22760,17070.0,10,Retail
15565,11673.75,5,Retail
6372,4779.0,3,Retail
13560,10170.0,5,Retail
7440,5580.0,4,Retail
11296,8472.0,4,Retail
11130,8347.5,3,Retail
4284,3213.0,6,Retail
3470,2602.5,1,Retail
21245,15933.75,7,Retail
2596,1947.0,1,Retail
12135,9101.25,5,Retail
408,306.0,6,Retail
33292,24969.0,7,Retail
1896,1422.0,2,Retail
41229,30921.75,9,Retail
13350,10012.5,3,Retail
3168,2376.0,4,Retail
25890,19417.5,6,Retail
7216,5412.0,4,Retail
17480,13110.0,8,Retail
6480,4860.0,3,Retail
41697,31272.75,9,Retail
1344,1008.0,2,Retail
9570,7177.5,2,Retail
46580,34935.0,10,Retail
13938,10453.5,6,Retail
25686,19264.5,6,Retail
34425,25818.75,9,Retail
6630,4972.5,5,Retail
14696,11022.0,4,Retail
48670,36502.5,10,Retail
4000,3000.0,1,Retail
19768,14826.0,8,Retail
40590,30442.5,9,Retail
6876,5157.0,4,Retail
24780,18585.0,6,Retail
16475,12356.25,5,Retail
669,501.75,3,Retail
9072,6804.0,7,Retail
675,506.25,3,Retail
14616,10962.0,3,Retail
14850,11137.5,9,Retail
20168,15126.0,8,Retail
3894,2920.5,2,Retail
3483,2612.25,9,Retail
8925,6693.75,3,Retail
3146,2359.5,2,Retail
2884,2163.0,7,Retail
6620,4965.0,4,Retail
5724,4293.0,4,Retail
18424,13818.0,4,Retail
10576,7932.0,4,Retail
20464,15348.0,8,Retail
27110,20332.5,10,Retail
12573,9429.75,3,Retail
3210,2407.5,10,Retail
15268,11451.0,4,Retail
4828,3621.0,1,Retail
12483,9362.25,9,Retail
34568,25926.0,8,Retail
20274,15205.5,6,Retail
21357,16017.75,7,Retail
18972,14229.0,4,Retail
12747,9560.25,3,Retail
8682,6511.5,2,Retail
20860,15645.0,10,Retail
3483,2612.25,1,Retail
9476,7107.0,2,Retail
9720,7290.0,9,Retail
13635,10226.25,5,Retail
369,276.75,1,Retail
1248,936.0,1,Retail
4756,3567.0,1,Retail
4711,3533.25,1,Retail
22888,17166.0,8,Retail
12141,9105.75,3,Retail
18886,14164.5,7,Retail
2564,1923.0,4,Retail
40460,30345.0,10,Retail
39690,29767.5,10,Retail
26985,20238.75,7,Retail
21216,15912.0,8,Retail
22670,17002.5,5,Retail
7356,5517.0,6,Retail
2784,2088.0,6,Retail
557,417.75,1,Retail
7008,5256.0,3,Retail
39366,29524.5,9,Retail
3810,2857.5,6,Retail
6960,5220.0,10,Retail
9560,7170.0,10,Retail
44830,33622.5,10,Retail
42858,32143.5,9,Retail
10608,7956.0,6,Retail
23480,17610.0,8,Retail
43560,32670.0,10,Retail
558,418.5,6,Retail
1173,879.75,1,Retail
28845,21633.75,9,Retail
4548,3411.0,1,Retail
1080,810.0,6,Retail
9140,6855.0,4,Retail
12016,9012.0,8,Retail
6914,5185.5,2,Retail
2076,1557.0,2,Retail
13025,9768.75,5,Retail
11802,8851.5,3,Retail
10568,7926.0,4,Retail
9338,7003.5,2,Retail
4866,3649.5,6,Retail
22959,17219.25,9,Retail
2529,1896.75,3,Retail
21968,16476.0,8,Retail
6734,5050.5,7,Retail
4716,3537.0,2,Retail
7368,5526.0,6,Retail
8120,6090.0,4,Retail
786,589.5,6,Retail
18765,14073.75,9,Retail
1122,841.5,2,Retail
2622,1966.5,1,Retail
5480,4110.0,5,Retail
13152,9864.0,4,Retail
29480,22110.0,10,Retail
2099,1574.25,1,Retail
15740,11805.0,4,Retail
37470,28102.5,10,Retail
8120,6090.0,2,Retail
2856,2142.0,2,Retail
18925,14193.75,5,Retail
13629,10221.75,7,Retail
2212,1659.0,4,Retail
2823,2117.25,3,Retail
29790,22342.5,10,Retail
2800,2100.0,10,Retail
8925,6693.75,5,Retail
16950,12712.5,10,Retail
1911,1433.25,1,Retail
14946,11209.5,3,Retail
38061,28545.75,9,Retail
2275,1706.25,5,Retail
13388,10041.0,4,Retail
1746,1309.5,3,Retail
4168,3126.0,2,Retail
1200,900.0,6,Retail
4396,3297.0,4,Retail
27475,20606.25,7,Retail
43119,32339.25,9,Retail
15624,11718.0,8,Retail
22608,16956.0,9,Retail
32711,24533.25,7,Retail
28548,21411.0,9,Retail
29232,21924.0,9,Retail
13152,9864.0,4,Retail
5832,4374.0,2,Retail
2772,2079.0,2,Retail
18608,13956.0,8,Retail
9038,6778.5,2,Retail
23796,17847.0,9,Retail
35352,26514.0,9,Retail
5187,3890.25,3,Retail
13008,9756.0,3,Retail
22200,16650.0,10,Retail
3970,2977.5,2,Retail
21700,16275.0,5,Retail
7196,5397.0,2,Retail
